2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-791; I § 8 V, stk. 2, nr. 2, indsættes efter »arbejdets udførelse,«: »eller at arbejdet er udført vedrørende en fritidsbolig, hvor den skattepligtige person er ejer og skattepligtig efter ejendomsværdiskatteloven af fritidsboligen på tidspunktet for arbejdets udførelse,«.
2013-791; § 8 V, stk. 2, nr. 5, affattes således:
2013-791; § 8 V, stk. 3, ophæves, og i stedet indsættes:
2013-791; I § 8 V, stk. 5, der bliver stk. 6, indsættes som 3. pkt.:
2013-791; I § 8 V, stk. 6, der bliver stk. 7, indsættes som 2. pkt.:
2013-791; I § 8 V indsættes efter stk. 6, der bliver stk. 7, som nyt stykke:
2013-791; I § 8 X, stk. 1, 1. pkt., ændres »25 pct.« til: »skatteværdien«.
2013-791; § 8 X, stk. 1, 2. pkt., ophæves, og i stedet indsættes:
2013-791; I § 8 X, stk. 3, 1. pkt., ændres »på 1,25 mio. kr. svarende til 25 pct. af 5 mio. kr.« til: »svarende til skatteværdien af 25 mio. kr.«
2013-791; I § 8 X, stk. 3, 3. pkt., ændres »5 mio. kr.« til: »25 mio. kr.«
2013-791; I § 5 B, stk. 1, nr. 1, indsættes efter 1. pkt.:
2013-792; § 17, stk. 1, affattes således:
2013-792; I § 39 A, stk. 2, 4. pkt., udgår », idet tab dog højst kan opgøres til forskellen mellem aktiens værdi på fraflytningstidspunktet og afståelsessummen«.
2013-792; I § 39 A, stk. 3, indsættes som 5.-8. pkt.:
2013-792; § 39 A, stk. 4, 1. pkt., ophæves, og i stedet indsættes:
2013-792; I § 13 a, stk. 4, 3. pkt., ændres »og 18,75 pct. for overskud opsparet i indkomståret 2007 og senere indkomstår.« til: », 18,75 pct. for overskud opsparet i indkomstårene 2007-2013, 19,1 pct. for overskud opsparet i indkomståret 2014, 19,9 pct. for overskud opsparet i indkomståret 2015 og 21 pct. for overskud opsparet i indkomståret 2016 og senere indkomstår.«
2013-792; I § 13 a, stk. 5, ændres »og en passivpost på 18,75 pct. for indkomståret 2007 og senere indkomstår.« til: », en passiv­post på 18,75 pct. for indkomstårene 2007-2013, en passiv­post på 19,1 pct. for indkomståret 2014, en passivpost på 19,9 pct. for indkomståret 2015 og en passivpost på 21 pct. for indkomståret 2016 og senere indkomstår.«
2013-792; § 36, stk. 1, affattes således:
2013-792; § 17, 1. pkt., affattes således:
2013-792; § 33, 1. pkt., affattes således:
2013-792; I § 33 D, stk. 4, 3. pkt., ændres »og 18,75 pct. for overskud opsparet i indkomståret 2007 og senere indkomstår.« til: », 18,75 pct. for overskud opsparet i indkomstårene 2007-13, 19,1 pct. for overskud opsparet i indkomståret 2014, 19,9 pct. for overskud opsparet i indkomståret 2015 og 21 pct. for overskud opsparet i indkomståret 2016 og senere indkomstår.«
2013-792; I § 33 D, stk. 5, ændres »og en passivpost på 18,75 pct. for indkomståret 2007 og senere indkomstår.« til: », en passivpost på 18,75 pct. for indkomstårene 2007-2013, en passivpost på 19,1 pct. for indkomståret 2014, en passivpost på 19,9 pct. for indkomståret 2015 og en passivpost på 21 pct. for indkomståret 2016 og senere indkomstår.«
2013-792; I § 48 E, stk. 3, nr. 1, ændres »jf. dog stk. 6« til: »jf. dog stk. 5«.
2013-792; § 48 E, stk. 3, nr. 3 og 4, ophæves.
2013-792; I § 48 E, stk. 3, nr. 5, der bliver nr. 3, ændres »jf. dog stk. 5« til: »jf. dog stk. 4«.
2013-792; § 48 E, stk. 4, ophæves.
2013-792; I § 48 E, stk. 5, der bliver stk. 4, ændres »et forskningsråd« til: »Det Frie Forskningsråd«, og »vederlagskravet i stk. 3, nr. 5« ændres til: »vederlagskravet i stk. 3, nr. 3«.
2013-792; I § 48 E, stk. 6, der bliver stk. 5, ændres »Personer som nævnt i stk. 5« til: »Personer som nævnt i stk. 4«, og »betingelserne i stk. 3, nr. 1 og 3,« ændres to steder til: »betingelserne i stk. 3, nr. 1,«.
2013-792; I § 48 E, stk. 7, der bliver stk. 6, ændres »stk. 5« til: »stk. 4«.
2013-792; § 48 F, stk. 2, 4. pkt., ophæves.
2013-792; To steder i § 65, stk. 6, ændres »25 pct.« til: »22 pct.«
2013-792; I § 2, stk. 1, indsættes efter »selskabsskat«: », tillægsselskabsskat«.
2013-792; I § 21, stk. 3, 1. pkt., ændres »§ 17, stk. 1,« til: »§ 17, stk. 1, 2. pkt.,«.
2013-792; Efter § 13 indsættes:
2013-792; § 5, stk. 2, affattes således:
2013-792; I § 10, stk. 2, 1. pkt., ændres »på 25 pct.« til: », som beregnes med den i selskabsskattelovens § 17, stk. 1, nævnte procent for det pågældende indkomstår.«
2013-792; I § 22 b, stk. 1, 3. pkt., udgår »før fradrag for henlæggelse til investeringsfonds«.
2013-792; § 22 b, stk. 1, 6. pkt., ophæves.
2013-792; I § 22 b, stk. 2, 1. pkt., ændres »§ 10, stk. 2« til: »selskabs­skat­te­lovens § 17, stk. 1«.
2013-792; I § 13, stk. 5, 1. og 3. pkt., stk. 6, 1. og 3.-5. pkt., og stk. 7, indsættes efter »2013«: »og 2014«.
2013-792; To steder i § 25, stk. 11, 2. pkt., og i 3. og 4. pkt., indsættes efter »2013«: »og 2014«.
2013-893; I § 91, stk. 1, indsættes efter 3. pkt.:
2013-894; I § 1, stk. 2, 2. pkt., indsættes efter »ægtefællen«: »eller samleveren, jf. §§ 2 a og 2 b,«.
2013-894; I § 2, stk. 1, indsættes efter »ægtefælle«: », sin samlever, jf. §§ 2 a og 2 b,«.
2013-894; I § 2, stk. 2, indsættes som 2. pkt.:
2013-894; Efter kapitel 1 indsættes:
2013-894; I § 5, stk. 4, ændres »§ 13, stk. 8 og 9,« til: »§ 13, stk. 11 og 12,«.
2013-894; I § 8, stk. 2, 1. pkt., § 13, stk. 11, og § 13 b, stk. 1, 1. pkt., to steder i § 25 a, stk. 1, i § 34, stk. 5, overskriften før § 36, overskriften før § 39, overskriften før § 41 og § 42, stk. 2 og 3, to steder i § 43, stk. 2, i § 44 a, 1. pkt., § 68, stk. 2, nr. 3 og 4, og § 69, stk. 5, og to steder i § 82 a, stk. 1, ændres »kontanthjælp« til: »uddannelses- eller kontanthjælp«.
2013-894; I § 8, stk. 3, ændres »har problemer ud over ledighed,« til: »er aktivitetsparat,«.
2013-894; I § 8 a, stk. 1, og § 13 d, stk. 1, ændres »alene på grund af ledighed« til: »som jobparat«.
2013-894; I § 8 a indsættes efter stk. 1 som nyt stykke:
2013-894; I § 8 a, stk. 2, der bliver stk. 3, ændres »bekræfte sin tilmelding som arbejdssøgende i jobcenteret« til: »tjekke sine jobforslag på Jobnet og dermed bekræfte, at pågældende er arbejdssøgende«.
2013-894; I § 10, stk. 2, 3. pkt., indsættes efter »ægtefælle«: »eller personen eller dennes samlever, jf. §§ 2 a og 2 b,«.
2013-894; Overskriften til kapitel 4 affattes således:
2013-894; I § 11, stk. 1, indsættes efter »i form af«: »uddannelseshjælp,«.
2013-894; I § 12, stk. 1, 1. pkt., indsættes efter »jf. dog«: »stk. 2-4 og«.
2013-894; I § 12 indsættes efter stk. 1 som nye stykker:
2013-894; I § 12, stk. 2, der bliver stk. 4, indsættes efter »ægtefælle«: »eller samlever, jf. §§ 2 a og 2 b,«, og efter »ægtefællen« indsættes: »eller samleveren, jf. §§ 2 a og 2 b«.
2013-894; Overskriften før § 13 affattes således:
2013-894; § 13, stk. 1, affattes således:
2013-894; I § 13, stk. 2, ændres »hjælp« til: »kontanthjælp«.
2013-894; I § 13, stk. 2, nr. 2, udgår »eller en cv-samtale«.
2013-894; § 13, stk. 3-8, ophæves, og i stedet indsættes:
2013-894; I § 13, stk. 10, der bliver stk. 13, ændres »stk. 1-4,« til: »stk. 1-7,«, og »ansøgeren eller ægtefællen« ændres til: »ansøgeren, ægtefællen eller samleveren, jf. §§ 2 a og 2 b,«.
2013-894; I § 13, stk. 11, der bliver stk. 14, ændres »stk. 8,« til: »stk. 11,«.
2013-894; I § 13 a, stk. 1, ændres »alene på grund af ledighed,« til: », og som er åbenlyst uddannelsesparat eller er jobparat,«.
2013-894; I § 13 a, stk. 1, indsættes som 3. pkt.:
2013-894; I § 13 a, stk. 2, 1. pkt., ændres »Personen« til: »En person, som modtager kontanthjælp som jobparat,«.
2013-894; I § 13 a indsættes som stk. 3:
2013-894; I § 13 a indsættes som stk. 4:
2013-894; I § 13 b, stk. 1, 3. pkt., ændres »For personer, der modtager hjælp alene på grund af ledighed,« til: »For personer, som er åbenlyst uddannelsesparate eller jobparate, og som modtager hjælp, jf. § 11,«.
2013-894; I § 14, stk. 1, indsættes efter 1. pkt.:
2013-894; I § 14, stk. 1, 2. pkt., der bliver 3. pkt., indsættes efter »ægtefæller«: »eller samlevende, jf. §§ 2 a og 2 b,«.
2013-894; I § 14 indsættes som stk. 6 og 7:
2013-894; Før overskriften før § 25 indsættes:
2013-894; Overskriften før § 25 affattes således:
2013-894; § 25 affattes således:
2013-894; I § 25 a, stk. 1, 2. pkt., indsættes efter »kontanthjælp«: », jf. dog stk. 4«.
2013-894; I § 25 a indsættes som stk. 4:
2013-894; § 25 f ophæves.
2013-894; I § 26, stk. 1 og stk. 3, 1. pkt., § 31, stk. 1, 1. pkt., § 34, stk. 1, og § 40, stk. 2, 1. pkt., og stk. 3, ændres »§ 25« til: »§§ 23-25«.
2013-894; I § 26, stk. 1, indsættes som 2. pkt.:
2013-894; I § 26, stk. 2, indsættes som 2. pkt.:
2013-894; I § 26, stk. 3, 1. pkt., og § 34, stk. 3, nr. 1, ændres »§ 13, stk. 7« til: »§ 13, stk. 10«.
2013-894; I § 26, stk. 3, indsættes som 3. pkt.:
2013-894; § 26, stk. 4, ophæves.
2013-894; I § 29 ændres »§§ 25« til: »§§ 23-25«.
2013-894; I § 30, stk. 1 og 2, indsættes som 2. pkt.:
2013-894; I § 31, stk. 1, ændres »kontanthjælpen« til: »uddannelses- eller kontanthjælp«.
2013-894; I § 31, stk. 1, indsættes som 3. pkt.:
2013-894; I § 32 ændres »§ 13, stk. 8« til: »§ 13, stk. 11«.
2013-894; I § 34, stk. 3, nr. 1, indsættes efter »Ægtepar«: »og samlevende, jf. §§ 2 a og 2 b«.
2013-894; § 34, stk. 3, nr. 2, affattes således:
2013-894; Efter § 34 indsættes før overskriften før § 35:
2013-894; I § 35, stk. 2, indsættes efter »§ 13 a«: », jf. dog § 40 a, stk. 1 og 2«.
2013-894; I § 35, stk. 3, indsættes efter »§ 36, stk. 2,«: »og §§ 37 og 38«, og »kontanthjælp« ændres til: »hjælp efter §§ 23-25«.
2013-894; § 35, stk. 4 og 5, ophæves, og i stedet indsættes:
2013-894; I § 36, stk. 1, ændres »læse- og skrivetest, jf. § 13, stk. 3, 2. pkt.,« til: »læse-, skrive- og regnetest, jf. § 13, stk. 5, 2. og 3. pkt.,«.
2013-894; § 37, stk. 1, affattes således:
2013-894; I § 37, stk. 2, 1. pkt., indsættes efter »jobsamtaler«: »eller individuelle samtaler«, og »og cv-samtaler« udgår.
2013-894; I § 38, stk. 1, ændres »§ 8 a, stk. 1,« til: »§ 8 a, stk. 1 eller 2,«, og efter »§ 13 a, stk. 2, 1. pkt.,« indsættes: »eller stk. 3, 1. pkt.,«.
2013-894; I § 38, stk. 2, ændres »bekræfte sin tilmelding som arbejdssøgende i jobcenteret,« til: »tjekke sine jobforslag på Jobnet og dermed bekræfte, at pågældende er arbejdssøgende,«, og »§ 8 a, stk. 2,« ændres til: »§ 8 a, stk. 3,«.
2013-894; I § 39, nr. 3, indsættes efter »§ 13, stk. 2, nr. 4,«: »eller stk. 3, nr. 4,«.
2013-894; I § 39, nr. 5, indsættes efter »§ 13, stk. 2, nr. 5,«: »eller stk. 3, nr. 5,«, og »eller« udgår, og i nr. 6 ændres »§ 16 a.« til: »§ 16 a,«.
2013-894; I § 39 indsættes som nr. 7 og 8:
2013-894; § 40, stk. 1, affattes således:
2013-894; Efter § 40 indsættes:
2013-894; I § 41, stk. 1, indsættes efter »ægtefælle«: »eller samlever, jf. §§ 2 a og 2 b,«.
2013-894; I § 41, stk. 2, 2. pkt., indsættes efter »ægtefællen«: »eller samleveren, jf. §§ 2 a og 2 b«.
2013-894; I § 42, stk. 1, ændres »hjælp efter § 25, stk. 1, nr. 1 eller 2, eller stk. 2 eller 3,« til: »hjælp i form af uddannelseshjælp, uddannelseshjælp og aktivitetstillæg eller kontanthjælp på mindst 10.500 kr. pr. måned efter §§ 23-25,«.
2013-894; I § 42, stk. 4, indsættes som 3. pkt.:
2013-894; I § 42, stk. 5, 4. pkt., indsættes efter »ægtefælle«: »eller samlever, jf. §§ 2 a og 2 b,«.
2013-894; I § 43, stk. 1, ændres »hjælp efter § 25, stk. 1, nr. 3 eller 4, eller stk. 4,« til: »uddannelseshjælp efter § 23, stk. 2, nr. 2, 3, 7, 8, 9 eller 10, uddannelseshjælp og aktivitetstillæg efter § 23, stk. 2, nr. 9, og § 24, stk. 2, nr. 6, eller § 23, stk. 2, nr. 10, og § 24, stk. 2, nr. 7, eller kontanthjælp efter § 25, stk. 3, nr. 2, 3, 7, 8, 9 eller 10,«.
2013-894; I § 43, stk. 3, indsættes efter »ægtefællen«: »eller samleveren, jf. §§ 2 a og 2 b«.
2013-894; I § 43, stk. 4, 3. pkt., indsættes efter »ægtefælle«: »eller samlever, jf. §§ 2 a og 2 b,«.
2013-894; I § 52 a, stk. 1, nr. 2, ændres »lov om statens uddannelsesstøtte« til: »SU-loven«.
2013-894; § 64 a, stk. 1, affattes således:
2013-894; § 64 a, stk. 2, 3. pkt., affattes således:
2013-894; I § 68, stk. 1, 2. pkt., indsættes efter »ægtefælles«: »eller samlevers, jf. §§ 2 a og 2 b,«.
2013-894; I § 68, stk. 2, nr. 1, ændres »§ 25, stk. 1, nr. 1,« til: »§ 25, stk. 2, nr. 1,«.
2013-894; I § 68, stk. 2, nr. 2, ændres »§ 25, stk. 1, nr. 2,« til: »§ 25, stk. 2, nr. 2,«.
2013-894; I § 68, stk. 2, nr. 3, ændres »§ 25, stk. 1, nr. 4,« til: »§ 23, stk. 2, nr. 9, og § 24, stk. 2, nr. 6, eller § 25, stk. 3, nr. 9,«.
2013-894; I § 68, stk. 2, nr. 4, ændres »§ 25, stk. 1, nr. 4,« til: »§ 23, stk. 2, nr. 9, og § 24, stk. 2, nr. 6, eller § 25, stk. 3, nr. 9,«, og efter »beregnes efter« indsættes: »§ 23, stk. 3, eller«.
2013-894; I § 68, stk. 5, indsættes som 2. pkt.:
2013-894; I § 69, stk. 3, § 76, stk. 1, 4. pkt., og tre steder i § 77 a ændres »§ 13, stk. 4 og 5,« til: »§ 13, stk. 7 og 8,«.
2013-894; I § 69, stk. 4, ændres »§ 13, stk. 8 og 9,« til: »§ 13, stk. 11 og 12,«.
2013-894; § 69 a, stk. 3, affattes således:
2013-894; I § 74 a, stk. 3, nr. 1, ændres »§ 25, stk. 1, nr. 1,« til: »§ 25, stk. 2, nr. 1,«, og i nr. 2 ændres »§ 25, stk. 1, nr. 2,« ændres til: »§ 25, stk. 2, nr. 2,«.
2013-894; § 74 d, stk. 6, ophæves.
2013-894; I § 74 g, stk. 2, ændres »§ 13, stk. 4« til: »§ 13, stk. 7«.
2013-894; I § 75 indsættes som stk. 3:
2013-894; § 77 affattes således:
2013-894; I § 79, stk. 1 og stk. 3, 1. pkt., ændres »§ 25,« til: »§ 23, § 25, stk. 1-4,«.
2013-894; I § 79, stk. 2, ændres »§ 25,« til: »§ 23 eller § 25, stk. 1-4,«, og »6 måneder« ændres til: »12 måneder«.
2013-894; I § 80, stk. 1, ændres »§ 74 d, stk. 2« til: »§ 74 d, stk. 2 og 3«.
2013-894; I § 82 a, stk. 1, 1. pkt., ændres »kontanthjælpsniveau« til: »uddannelseshjælps- eller kontanthjælpsniveau«.
2013-894; § 82 a, stk. 2, ophæves, og i stedet indsættes:
2013-894; I § 82 a, stk. 3 og 4, der bliver stk. 5 og 6, ændres »stk. 2« til: »stk. 2-4«.
2013-894; I § 82 a, stk. 5, der bliver stk. 7, ændres »stk. 1-4« til: »stk. 1-6«.
2013-894; I § 91, nr. 2, udgår »eller«.
2013-894; I § 91 indsættes efter nr. 2 som nyt nummer:
2013-894; I § 92, stk. 2, indsættes som 3. pkt.:
2013-894; I § 93, stk. 1, nr. 3, indsættes efter »ægtefællen«: »eller samleveren, jf. §§ 2 a og 2 b,«.
2013-894; § 93 a ophæves.
2013-894; I § 96 a, stk. 1, 1. pkt., ændres »§ 25, stk. 1, nr. 1, eller § 25, stk. 2, nr. 2,« til: »§ 23, stk. 2, nr. 5, § 25, stk. 2, nr. 1, eller § 25, stk. 3, nr. 5,«.
2013-894; Efter § 97 indsættes i kapitel 12:
2013-894; Efter kapitel 13 indsættes:
2013-894; I § 104, stk. 1, 1. pkt., ændres »§ 74 d, stk. 2,« til: »§ 74 a, stk. 2 og 3,«.
2013-894; I § 106 indsættes som 3. pkt.:
2013-894; § 109, stk. 1, nr. 1, affattes således:
2013-894; I § 109, stk. 1, nr. 3, indsættes efter »ægtepar«: »eller samlevende, jf. §§ 2 a og 2 b,«.
2013-894; § 109, stk. 1, nr. 5, affattes således:
2013-894; I § 109, stk. 1, nr. 6, indsættes efter »revalideringsydelse«: »og § 68 om ressourceforløbsydelse«.
2013-894; § 109, stk. 2, ophæves.
2013-894; I § 110, 1. pkt., indsættes efter »ydelsesperioder«: », jf. dog stk. 2«.
2013-894; I § 110 indsættes som stk. 2:
2013-894; I § 2 a, stk. 5, ændres »§§ 25« til: »§§ 23, 25«.
2013-894; I § 20, stk. 5, indsættes efter »§§ 39, 40«: », 40 a«.
2013-894; I § 7, stk. 4, nr. 2, indsættes efter »der modtager SU«: », eller en person, der modtager uddannelseshjælp efter § 23 i lov om aktiv socialpolitik«.
2013-894; Overskriften til kapitel 2 a affattes således:
2013-894; Efter § 10 b indsættes:
2013-894; I § 10 c, stk. 1 og stk. 2, 2. pkt., ændres »lov om statens uddannelsesstøtte« til: »SU-loven«.
2013-894; I § 10 c, stk. 1, indsættes som 2. og 3. pkt.:
2013-894; I § 10 c indsættes efter stk. 3 som nyt stykke:
2013-894; § 10 c, stk. 8, ophæves.
2013-894; § 10 c, stk. 11, affattes således:
2013-894; I § 10 c, stk. 14, ændres »stk. 5 og 6,« til: »stk. 6 og 7,«.
2013-894; Efter § 10 c indsættes før kapitel 3:
2013-894; I § 87, stk. 1, nr. 1, ændres »arbejdsindtægt,« til: »arbejdsindtægt og«.
2013-894; § 87, stk. 1, nr. 2, ophæves.
2013-894; I § 87, stk. 2, ændres »nr. 3« til: »nr. 2«.
2013-894; Efter § 4 indsættes:
2013-895; I § 1 a indsættes som stk. 2:
2013-895; I § 2, nr. 2, ændres »alene på grund af ledighed,« til: », og som er jobparate,«.
2013-895; I § 2, nr. 3, ændres »ikke alene på grund af ledighed,« til: », og som er aktivitetsparate,«.
2013-895; I § 2, nr. 10, indsættes efter »kontanthjælp«: »eller uddannelseshjælp«, og »integrationsloven, og« ændres til: »integrationsloven,«.
2013-895; I § 2, nr. 11, ændres »socialpolitik.« til: »socialpolitik,«.
2013-895; I § 2 indsættes som nr. 12 og 13:
2013-895; I § 4, stk. 2, indsættes efter »kontanthjælp«: »og uddannelseshjælp«, og »nr. 2 og 3« ændres til: »nr. 2, 3, 12 og 13«.
2013-895; I § 4 c, stk. 1, ændres »kapitel 10-12« til: »kapitel 9 b-12«.
2013-895; I § 4 c, stk. 3, udgår »nr. 1-10,«.
2013-895; I § 8, 2. pkt., indsættes efter »nr. 1 og 2,«: »samt personer, der er omfattet af § 2, nr. 12, og som vurderes åbenlyst uddannelsesparate,«.
2013-895; I § 10 a, stk. 1, 1. pkt., udgår »nr. 1-11,«, i 2. pkt. indsættes efter »rehabiliteringsplaner«: »m.v.«, og »tilbud efter kapitel 10-12« ændres til: »tilbud efter kapitel 9 b-12«.
2013-895; § 10 a, stk. 3 og 4, ophæves.
2013-895; I § 10 b indsættes som stk. 2 og 3:
2013-895; Efter § 10 b indsættes i kapitel 4 a:
2013-895; I overskriften til kapitel 5 indsættes efter »Tilmelding af arbejdssøgende i jobcentre«: »m.v.«
2013-895; I § 11, stk. 2, 2. pkt., ændres »bekræfte, at pågældende er arbejdssøgende« til: »tjekke sine jobforslag på Jobnet og dermed bekræfte, at pågældende er arbejdssøgende«.
2013-895; § 11, stk. 3, affattes således:
2013-895; I § 11 indsættes efter stk. 3 som nyt stykke:
2013-895; § 11, stk. 4, der bliver stk. 5, affattes således:
2013-895; I § 13, stk. 1, ændres »nr. 1 og 2, og som er tilmeldt som arbejdssøgende i jobcenteret, jf. § 11, stk. 2 og 3,« til: »nr. 1-3, samt personer, der er omfattet af § 2, nr. 12, og som vurderes åbenlyst uddannelsesparate,«.
2013-895; § 13, stk. 2, affattes således:
2013-895; I § 14, stk. 1, ændres »og 2, skal der senest 3 uger efter tilmelding afholdes« til: », skal arbejdsløshedskassen senest 3 uger efter tilmelding afholde«.
2013-895; § 14, stk. 3, ophæves.
2013-895; I § 15 indsættes som stk. 3:
2013-895; I § 16, stk. 1, 2. pkt., ændres »§ 17, stk. 2, § 18, stk. 3,« til: »§ 17, stk. 3, § 18, stk. 5,«.
2013-895; I § 16, stk. 4, ændres »10-12« til: »9 b-12«.
2013-895; I § 16, stk. 5, ændres »§ 18, stk. 3« til: »§ 18, stk. 5«.
2013-895; I § 16 indsættes efter stk. 5 som nye stykker:
2013-895; I § 16, stk. 6, der bliver stk. 8, ændres »1 og 2,« til: »1-3, og personer, der er omfattet af § 2, nr. 12, og som vurderes åbenlyst uddannelsesparate,«.
2013-895; I § 17, stk. 1, udgår »og 2«.
2013-895; I § 17 indsættes efter stk. 1 som nyt stykke:
2013-895; I § 17, stk. 2, der bliver stk. 3, indsættes efter »Samtalen«: »efter stk. 1 og 2«.
2013-895; I § 18, stk. 1, ændres »nr. 3 og 4,« til: »nr. 4,«.
2013-895; I § 18 indsættes efter stk. 2 som nye stykker:
2013-895; I § 18, stk. 3, der bliver stk. 5, ændres »stk. 1 og 2« til: »stk. 1-4«.
2013-895; I § 18, stk. 4, der bliver stk. 6, ændres »§ 2, nr. 3 og 4,« til: »§ 2, nr. 3, 4 og 13,«.
2013-895; Efter § 18 indsættes før overskriften før § 19:
2013-895; I overskriften før § 19 ændres »den første samtale« til: »de første samtaler«.
2013-895; § 20, stk. 1, affattes således:
2013-895; I § 20 indsættes som stk. 2:
2013-895; Efter § 20 indsættes:
2013-895; I § 21, stk. 1, ændres »perioderne på 1 og 3 måneder« til: »tidsperioder«, og »§ 2, nr. 1, henholdsvis § 2, nr. 2-4,« til: »§ 2, nr. 1-4, 12 og 13,«.
2013-895; Overskriften før § 21 b affattes således:
2013-895; § 21 b affattes således:
2013-895; I § 22, stk. 1, indsættes før nr. 1 som nyt nummer:
2013-895; I § 22, stk. 2, indsættes efter »kapitel 9«: », eller et uddannelsespålæg, jf. § 21 b«.
2013-895; I § 22 indsættes som stk. 7:
2013-895; I § 24 indsættes som stk. 7:
2013-895; I § 25, stk. 2, ændres »og 3,« til: », 3, 12 og 13,«.
2013-895; I § 26, stk. 2, ændres »nr. 2-4 og 7,« til: »nr. 2-4, 7, 12 og 13,«.
2013-895; I § 29, stk. 1 og 3, ændres »10« til: »9 b«.
2013-895; Efter kapitel 9 a indsættes:
2013-895; I § 32, stk. 1, indsættes efter »11«: »-13«.
2013-895; I § 32, stk. 3, indsættes efter »arbejdsmarkedet«: »og for personer, der er omfattet af § 2, nr. 12 og 13, opkvalificering til at kunne påbegynde og gennemføre en erhvervskompetencegivende uddannelse«.
2013-895; Efter § 32 indsættes:
2013-895; § 35 ophæves.
2013-895; I § 36, stk. 1 og 2, ændres »§§ 34 og 35« til: »§ 34«.
2013-895; I § 37, stk. 1, indsættes efter »nr. 1-3,«: »12 og 13,«.
2013-895; § 37, stk. 2, nr. 3, affattes således:
2013-895; I § 38, stk. 2, ændres »nr. 2-5, 7 og 11,« til: »nr. 2-5, 7 og 11-13,«.
2013-895; I § 39, stk. 1, ændres »nr. 1-5, 7 og 11,« til: »nr. 1-5, 7 og 11-13,«.
2013-895; I § 39, stk. 2, ændres »nr. 2, 3 og 11,« til: »nr. 2, 3 og 11-13,«.
2013-895; I § 40 udgår », samt til mentor, jf. §§ 78-80«.
2013-895; Overskriften før § 42 affattes således:
2013-895; I § 42 indsættes som stk. 4:
2013-895; Efter § 42 indsættes:
2013-895; I § 43, stk. 1, indsættes efter »virksomhedspraktik«: »efter §§ 42 og 42 a«.
2013-895; I § 44, stk. 1, indsættes efter »Et tilbud om virksomhedspraktik«: »efter § 42«.
2013-895; I § 44, stk. 1, nr. 2 og 3, indsættes efter »nr. 2«: »og 12«.
2013-895; I § 44, stk. 1, nr. 4, indsættes efter »nr. 3-7 og 11«: »-13«.
2013-895; I § 44 indsættes som stk. 4:
2013-895; I § 45, stk. 2, og § 46, stk. 1, ændres »5, 7 og 11,« til: »5, 7 og 11-13,«.
2013-895; I § 46, stk. 2, ændres »nr. 2, 3 og 11,« til: »nr. 2, 3 og 11-13,«.
2013-895; I § 47 udgår », samt til mentor, jf. §§ 78-80«.
2013-895; I § 48 indsættes som stk. 3 og 4:
2013-895; I § 49 indsættes efter »virksomhedspraktik«: », jf. §§ 42 og 42 a,«.
2013-895; I § 50 indsættes som 2. pkt.:
2013-895; I § 51, stk. 1, 1. pkt., ændres »nr. 1-6, 8 og 11,« til: »nr. 1-6, 8 og 11-13,«.
2013-895; I § 51, stk. 1, indsættes som 3. pkt.:
2013-895; § 51, stk. 2, affattes således:
2013-895; I § 52, nr. 1, indsættes efter »11«: »-13«.
2013-895; Efter § 52 indsættes før overskriften før § 53:
2013-895; I § 53, stk. 1, indsættes som 2. pkt.:
2013-895; I § 54 og § 55, stk. 1, ændres »nr. 1-3, 5 og 11,« til: »nr. 1-3, 5 og 11-13,«.
2013-895; I § 55, stk. 4, ændres »nr. 2, 3 og 11,« til: »nr. 2, 3 og 11-13,«, og », dog mindst udgøre 82 pct. af højeste dagpenge efter lov om arbejdsløshedsforsikring m.v« udgår.
2013-895; I § 61, stk. 1, ændres »nr. 1-3, 5 og 11,« til: »nr. 1-3, 5 og 11-13,«.
2013-895; I § 64, stk. 2, ændres »nr. 1-3,« til: »nr. 1-3, 12 og 13,«.
2013-895; I § 66 ændres »nr. 1-5 og 11,« til: »nr. 1-5 og 11-13,«.
2013-895; I § 67 udgår », samt til mentor, jf. §§ 78-80«.
2013-895; I § 68 a, stk. 6, ændres »10-12, mentorstøtte efter kapitel 14« til: »9 b-12«.
2013-895; I § 75 b indsættes som stk. 3:
2013-895; I overskriften til kapitel 14 udgår »og mentor«.
2013-895; Overskriften før § 78 ophæves.
2013-895; §§ 78-81 ophæves.
2013-895; I § 81 a, stk. 2, ændres »nærværende kapitel« til: »kapitel 9 b«.
2013-895; I § 82, stk. 1, 1. pkt., ændres »nr. 1-5 og 11,« til: »nr. 1-5 og 11-13,«.
2013-895; I § 82, stk. 1, 3. pkt., indsættes efter »3,«: »12 og 13,«.
2013-895; I § 82, stk. 4, ændres »nr. 1-4, 7 og 11,« til: »nr. 1-4, 7 og 11-13,«.
2013-895; I § 83, stk. 1, ændres »nr. 2, 3 og 11,« til: »nr. 2, 3 og 11-13,«.
2013-895; I overskriften før § 92 udgår »for personer under 30 år«.
2013-895; § 92 affattes således:
2013-895; Efter § 92 indsættes før overskriften før § 95:
2013-895; Overskriften før § 95 ophæves.
2013-895; § 95 ophæves.
2013-895; I § 96, stk. 1, ændres »§ 92, har afsluttet det første tilbud, har personen ret og pligt til at påbegynde nyt tilbud« til: »§ 2, nr. 2, har afsluttet det første tilbud efter § 92, stk. 1, har personen ret og pligt til at påbegynde nyt tilbud efter kapitel 10-12«.
2013-895; § 96, stk. 2, ophæves.
